ts,TEMPC,GUSTMph,AVGMph,HUM_,BAROMb,TRENDMb,RAINDAYMm,RAINMTHMm,RATEMm_hr,SOLARW_m2,UV,Pedestrian
2021-01-01 00:00:00,-1.1,0,0,93,1009.8,0.5,0,0,0,0,0,47
2021-01-01 01:00:00,-1,0,0,93,1010,0.2,0,0,0,0,0,59
2021-01-01 02:00:00,-1.8,0,0,93,1010.6,0.5,0,0,0,0,0,19
2021-01-01 03:00:00,-2.9,0,0,93,1010.9,0.3,0,0,0,0,0,9
2021-01-01 04:00:00,-3.8,0,0,94,1011,0.2,0,0,0,0,0,27
2021-01-01 05:00:00,-3.6,0,0,94,1011.1,0,0,0,0,0,0,17
2021-01-01 06:00:00,-1.9,0,0,95,1011.1,0,0,0,0,0,0,22
2021-01-01 07:00:00,-1.3,0,0.9,95,1011.6,0.4,0,0,0,0,0,31
2021-01-01 08:00:00,-0.5,0,0,95,1012,0.4,0,0,0,0,0,14
2021-01-01 09:00:00,0.5,0,0,95,1012.6,0.6,0,0,0,12,0,45
2021-01-01 10:00:00,0.8,1,0,95,1012.8,0.2,0,0,0,21,0,28
2021-01-01 11:00:00,1.4,2,1.4,96,1013.2,0.3,0.2,0.2,0,44,0,57
2021-01-01 12:00:00,1.9,1,0.1,96,1013.1,-0.1,0.2,0.2,0,37,0,93
2021-01-01 13:00:00,2.9,2,0.2,96,1012.8,-0.3,0.2,0.2,0,42,0,108
2021-01-01 14:00:00,3.4,4,0.9,96,1012.8,0,0.2,0.2,0,65,0,144
2021-01-01 15:00:00,3.5,5,1.3,95,1013.3,0.4,0.2,0.2,0,67,0,160
2021-01-01 16:00:00,3.6,6,3.1,95,1013.7,0.4,0.2,0.2,0,5,0,151
2021-01-01 17:00:00,3.6,4,1.7,95,1014.2,0.5,0.2,0.2,0,0,0,57
2021-01-01 18:00:00,3.5,5,1.3,95,1014.4,0.3,0.2,0.2,0,0,0,55
2021-01-01 19:00:00,3.6,4,0.8,95,1015,0.5,0.2,0.2,0,0,0,36
2021-01-01 20:00:00,3.6,1,0.5,95,1015.5,0.5,0.2,0.2,0,0,0,31
2021-01-01 21:00:00,3.3,4,0.6,94,1015.8,0.3,0.2,0.2,0,0,0,21
2021-01-01 22:00:00,2.9,4,1.2,94,1016.2,0.5,0.2,0.2,0,0,0,15
2021-01-01 23:00:00,2.9,4,0.2,94,1016.5,0.3,0.2,0.2,0,0,0,17
2021-01-02 00:00:00,2.8,4,3,94,1016.8,0.3,0,0.2,0,0,0,2
2021-01-02 01:00:00,2.6,4,2,93,1017,0.2,0,0.2,0,0,0,2
2021-01-02 02:00:00,2,2,0.2,92,1017.2,0.2,0,0.2,0,0,0,1
2021-01-02 03:00:00,1.4,1,0.9,92,1017.5,0.3,0,0.2,0,0,0,5
2021-01-02 04:00:00,1.9,1,0.1,92,1017.4,-0.1,0,0.2,0,0,0,0
2021-01-02 05:00:00,1.9,0,0,92,1017.6,0.2,0,0.2,0,0,0,5
2021-01-02 06:00:00,1.8,0,0,91,1018,0.3,0,0.2,0,0,0,12
2021-01-02 07:00:00,1.3,0,0,91,1018.1,0.1,0,0.2,0,0,0,19
2021-01-02 08:00:00,0.4,0,0,91,1018.1,0,0,0.2,0,0,0,46
2021-01-02 09:00:00,0.1,0,0,92,1018.5,0.3,0,0.2,0,18,0,74
2021-01-02 10:00:00,2,0,0.1,92,1018.4,0,0.2,0.4,0,127,0,120
2021-01-02 11:00:00,3.8,4,1.7,85,1017.8,-0.5,0.2,0.4,0,127,0,205
2021-01-02 12:00:00,3.7,6,4,84,1017.3,-0.7,0.2,0.4,0,72,0,222
2021-01-02 13:00:00,3.3,7,3.9,87,1016.9,-0.4,0.4,0.6,1.2,51,0,233
2021-01-02 14:00:00,2.4,2,1.7,91,1016.4,-0.4,1.6,1.8,1.2,51,0,204
2021-01-02 15:00:00,2.9,1,0.9,92,1016.2,-0.2,2,2.2,0.6,42,0,262
2021-01-02 16:00:00,2.4,0,0,92,1016.3,0.1,2,2.2,0,7,0,187
2021-01-02 17:00:00,1.4,0,0,92,1016.5,0.1,2,2.2,0,0,0,91
2021-01-02 18:00:00,1.1,2,1.3,93,1016.9,0.4,2,2.2,0,0,0,71
2021-01-02 19:00:00,1.2,4,0.9,93,1017.1,0.3,2,2.2,0,0,0,44
2021-01-02 20:00:00,1,9,5.4,94,1017.4,0.2,2,2.2,0,0,0,38
2021-01-02 21:00:00,0.6,5,2.9,93,1017.4,0,2,2.2,0,0,0,30
2021-01-02 22:00:00,0.2,4,0.8,94,1017.6,0.2,2,2.2,0,0,0,32
2021-01-02 23:00:00,0.6,0,0,94,1017.9,0.2,2,2.2,0,0,0,21
2021-01-03 00:00:00,0.8,2,2.2,94,1017.9,0.1,0,2.2,0,0,0,7
2021-01-03 01:00:00,1,4,0.1,94,1017.9,0,0,2.2,0,0,0,0
2021-01-03 02:00:00,1.3,5,3.9,95,1017.8,-0.1,0,2.2,0,0,0,1
2021-01-03 03:00:00,1.3,2,2,95,1017.8,0.1,0.2,2.4,0,0,0,2
2021-01-03 04:00:00,1.4,4,2,95,1017.7,-0.2,0.4,2.6,0,0,0,0
2021-01-03 05:00:00,1.6,8,1.3,95,1017.5,0,0.6,2.8,1.2,0,0,1
2021-01-03 06:00:00,2,7,3,95,1017.9,0.2,0.8,3,0.6,0,0,14
2021-01-03 07:00:00,2.2,7,3.9,95,1018.1,0.2,0.8,3,0,0,0,23
2021-01-03 08:00:00,2.2,8,7.1,95,1018.4,0.2,0.8,3,0,0,0,27
2021-01-03 09:00:00,2.2,8,5.4,95,1018.9,0.6,0.8,3,0,5,0,38
2021-01-03 10:00:00,2.4,9,3.7,95,1019.2,0.3,0.8,3,0,33,0,80
2021-01-03 11:00:00,2.8,10,4.1,95,1019.2,-0.1,0.8,3,0,40,0,117
2021-01-03 12:00:00,3.1,12,6.2,95,1019,-0.1,0.8,3,0,49,0,218
2021-01-03 13:00:00,3.5,9,4.1,95,1018.7,-0.3,0.8,3,0,76,0,230
2021-01-03 14:00:00,3.6,12,6.8,94,1018.7,-0.1,0.8,3,0,35,0,238
2021-01-03 15:00:00,3.7,13,6.7,94,1018.9,0.3,0.8,3,0,30,0,228
2021-01-03 16:00:00,3.5,12,5.4,94,1018.9,0,0.8,3,0,11,0,179
2021-01-03 17:00:00,3.4,6,5.2,94,1019.2,0.3,0.8,3,0,0,0,90
2021-01-03 18:00:00,3.4,5,4.4,93,1019.3,0.2,0.8,3,0,0,0,57
2021-01-03 19:00:00,3.4,10,4.4,93,1019.7,0.3,0.8,3,0,0,0,46
2021-01-03 20:00:00,3.3,8,2.9,94,1020,0.3,0.8,3,0,0,0,36
2021-01-03 21:00:00,3.2,9,3.5,94,1020.4,0.4,0.8,3,0,0,0,21
2021-01-03 22:00:00,3.1,8,3.6,94,1020.7,0.4,0.8,3,0,0,0,24
2021-01-03 23:00:00,2.8,10,6,94,1020.7,0,0.8,3,0,0,0,15
2021-01-04 00:00:00,2.8,4,4.8,94,1020.9,0.2,0,3,0,0,0,8
2021-01-04 01:00:00,2.9,9,4.7,94,1020.9,0,0,3,0,0,0,2
2021-01-04 02:00:00,3.2,5,3.7,94,1021,0.1,0,3,0,0,0,1
2021-01-04 03:00:00,2.9,9,4.9,94,1021,0,0,3,0,0,0,1
2021-01-04 04:00:00,2.5,9,4.9,94,1021,0,0,3,0,0,0,3
2021-01-04 05:00:00,2.2,12,4.6,94,1021,0,0,3,0,0,0,12
